SpecCode,StockCode,Order,Family,Binomial,TreeName,Sex,Winfinity,LogeWinf,K,LogeK,Loo,Locality,Country,Environment,WaterTempMin,WaterTempMax,ReproGuild,ReproMode,Fertilization,TrophicLevel,FeedingType,T_Kelvin,Temp_New,PopGrowthReferences,Author,Year,TitleUnique,SourceUnique,,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,3082,8.033334016,0.195999995,-1.629640646,38.70000076,"Incomati-Limpopo, Transvaal",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,655,6.484635236,0.386000007,-0.95191789,24.5,"Njelele Dam, Transvaal, 30°07'E 22°44'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,852,6.747586527,0.300000012,-1.203972765,34.90000153,Parakrama Samudra (northern basin) 7°55'N 81°E,Sri Lanka,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,5764,"Amarasinghe, U.S., S.S. de Silva and J. Moreau",1989,"Spatial changes in growth and mortality and effects on the fishery of <i>Oreochromis mossambicus</i> (Pisces, Cichlidae) in a man-made lake in Sri Lanka.",Asian Fish. Sci. 3:57-68.,,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,876,6.775366091,0.379999995,-0.967584039,28,"Sheyo-lo-ngubu Dam, Transvaal, 31°20'E 25°43'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,897,6.799055862,0.626999974,-0.466808779,28.20000076,"De Hoop Vlei Dam, Cape Prov. 20°25'E 34°28'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1160,7.056175284,0.239999995,-1.427116378,38.79999924,Parakrama Samudra (middle basin) 7°55'N 81°E,Sri Lanka,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,5764,"Amarasinghe, U.S., S.S. de Silva and J. Moreau",1989,"Spatial changes in growth and mortality and effects on the fishery of <i>Oreochromis mossambicus</i> (Pisces, Cichlidae) in a man-made lake in Sri Lanka.",Asian Fish. Sci. 3:57-68.,,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1320,7.185387016,0.219999999,-1.514127738,40.59999847,Parakrama Samudra (southern basin) 7°55'N 81°E,Sri Lanka,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,5764,"Amarasinghe, U.S., S.S. de Silva and J. Moreau",1989,"Spatial changes in growth and mortality and effects on the fishery of <i>Oreochromis mossambicus</i> (Pisces, Cichlidae) in a man-made lake in Sri Lanka.",Asian Fish. Sci. 3:57-68.,,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1325,7.189167738,0.209999993,-1.560647779,32,"Zeekoei Vlei Dam, Cape Prov. 18°01'E 34°04'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1380,7.229838778,0.148000002,-1.910542992,33,"Fundudzi Lake, 22°50'S 30°20'E",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,312,"Pauly, D.",1978,A preliminary compilation of fish length growth parameters.,Ber. Inst. Meereskd. Christian-Albrechts-Univ. Kiel (55):1-200.,,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1450,7.279318835,0.26699999,-1.320506659,33,"Hartebeespoort Dam, Transvaal, 27°50'E 25°44'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1671,7.421177529,0.300000012,-1.203972765,34.70000076,"Loskop Dam, Transvaal, 29°21'E 25°25'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,unsexed,1729,7.455298486,0.210999995,-1.555897167,35.09999847,"Rust de Winter Dam, Transvaal, 28°28'E 25°14'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
10,16,Perciformes,Carangidae,Alectis indica,Alectis_indica,unsexed,12675,9.447386828,0.170000002,-1.771956831,105,Gulf of Aden,Yemen,reef_associated,-,-,nonguarders,dioecism,external,carnivore,hunting,-,-,1498,"Edwards, R.R.C., A. Bakhader and S. Shaher",1985,"Growth, mortality, age composition and fishery yields of fish from the Gulf of Aden.",J. Fish Biol. 27:13-21.,,,,,
12,18,Perciformes,Serranidae,Cephalopholis cruentata,Cephalopholis_cruentata,unsexed,690,6.536691598,0.340000004,-1.078809651,34,-,Jamaica,reef_associated,-,-,nonguarders,protogyny,external,carnivore,hunting,-,-,29,"Thompson, R. and J.L. Munro",1983,"The biology, ecology and bionomics of the hinds and groupers, Serranidae.",p.59-81. In J.L. Munro (ed.) Caribbean coral reef fishery resources. ICLARM Stud. Rev. 7.,,,,,
12,18,Perciformes,Serranidae,Cephalopholis cruentata,Cephalopholis_cruentata,unsexed,704,6.556778356,0.349999994,-1.049822142,34,-,Jamaica,reef_associated,-,-,nonguarders,protogyny,external,carnivore,hunting,-,-,3090,"Manooch, C.S. III",1987,Age and growth of snappers and groupers.,"p. 329-373. In J.J. Polovina and S. Ralston (eds.) Tropical snappers and groupers: biology and fisheries management. Ocean Resour. Mar. Policy Ser. Westview Press, Inc., Boulder and London.",,,,,
12,18,Perciformes,Serranidae,Cephalopholis cruentata,Cephalopholis_cruentata,unsexed,1218,7.104965448,0.129999995,-2.040220865,42,-,-,reef_associated,-,-,nonguarders,protogyny,external,carnivore,hunting,-,-,3090,"Manooch, C.S. III",1987,Age and growth of snappers and groupers.,"p. 329-373. In J.J. Polovina and S. Ralston (eds.) Tropical snappers and groupers: biology and fisheries management. Ocean Resour. Mar. Policy Ser. Westview Press, Inc., Boulder and London.",,,,,
14,20,Perciformes,Serranidae,Epinephelus adscensionis,Epinephelus_adscensionis,unsexed,1900,7.549609165,0.109999999,-2.207274919,49.90000153,St. John,Virgin Is. (US),demersal,-,-,nonguarders,protogyny,external,carnivore,hunting,-,-,1475,"Munro, J.L. and D. McB. Williams",1985,"Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects.","p. 543-578. In Proceedings of the Fifth International Coral Reef Congress, Tahiti, 27 May-1 June 1985. Vol. 4. Antenne Museum-EPHE, Moonea, French Polynesia.",,,,,
15,21,Perciformes,Serranidae,Epinephelus guttatus,Epinephelus_guttatus,unsexed,1504,7.315883505,0.180000007,-1.714798388,42,-,Bermuda,reef_associated,-,-,nonguarders,protogyny,external,carnivore,hunting,-,-,3090,"Manooch, C.S. III",1987,Age and growth of snappers and groupers.,"p. 329-373. In J.J. Polovina and S. Ralston (eds.) Tropical snappers and groupers: biology and fisheries management. Ocean Resour. Mar. Policy Ser. Westview Press, Inc., Boulder and London.",,,,,
